dato	periode	stasjon 	art	kode	kjønn	vekt	rep	merk	annet
05.09.2018	september	44		783	f	22	1	n	
04.09.2018	september	42	f	46a	m	53	3	g	
05.09.2018	september	42		46a	m	54	3		
05.09.2018	september	27	f	49b	m	16	1	n	
03.09.2018	september	2	f	4b6	m	50	3	g	
04.09.2018	september	5	f	4b6	m	47	3		
05.09.2018	september	2	f	4b6	m	47	3		
03.09.2018	september	38	f	4c2	m	52	3	g	
05.09.2018	september	28	f	4c2	m	46	3		
03.09.2018	september	12	f	4ea	m	54	3	g	
04.09.2018	september	12	f	4ea	m	53	3		
05.09.2018	september	9	f	4ea	m	47	3		
03.09.2018	september	40	f	62a	f	41	4	g	
04.09.2018	september	40	f	62a	f	40	4		
05.09.2018	september	39		62a	f	39	4		
03.09.2018	september	45	f	6a6	m	53	3	g	
05.09.2018	september	45		6a6	m	50	3		
04.09.2018	september	23	f	6b9	f	47	4	g	
05.09.2018	september	34		6b9	f	48	4		
03.09.2018	september	41	f	6ca	f	53	4	g	
04.09.2018	september	41	f	6ca	f	41	4		
05.09.2018	september	41		6ca	f	45	5		
05.09.2018	september	19	f	6cc	f	12	1	n	
03.09.2018	september	39	f	6db	f	43	4	g	
04.09.2018	september	39	f	6db	f	40	4		
05.09.2018	september	40		6db	f	40	4		
04.09.2018	september	38	f	73e	m	49	3	g	
04.09.2018	september	15	f	76e	m	49	3	n	
04.09.2018	september	43	f	79a	f	42	4	g	
04.09.2018	september	31	f	7a4	m	50	3	g	
05.09.2018	september	29		7a4	m	43	3		
03.09.2018	september	36	f	81b	f	45	4	g	
04.09.2018	september	36	f	81b	f	39	4		
05.09.2018	september	36		81b	f	37	4		
05.09.2018	september	16	f	uuu	f	45	4	drept av røyskatt	
13.09.2018	oktober	29	f	438	f	37	1	g	
15.09.2018	oktober	26	f	438	f	38	5		
13.09.2018	oktober	31	f	439	f	45	5	g	
14.09.2018	oktober	29	f	439	f	41	5		
15.09.2018	oktober	25	f	439	f	40	5		
13.09.2018	oktober	8	f	477	m	23	1	n	
14.09.2018	oktober	8	f	477	m	21	1		
15.09.2018	oktober	8	f	477	m	23	1		
14.09.2018	oktober	3	f	479	f	31	1	n	
15.09.2018	oktober	10	f	538	f	22	1	g	
13.09.2018	oktober	2	f	579	f	38	5	g	
14.09.2018	oktober	2	f	579	f	38	1		
15.09.2018	oktober	2	f	579	f	35	5		
14.09.2018	oktober	12	f	662	m	24	1	n	
14.09.2018	oktober	45	f	672	m	26	1	n	
