year	area	seas	datetime	check	transect	station	trapnum	Nindnum	sex	status	weight	species	marked	note	
Z19	PORS	FALL	100919	1	2	2	3A	B704	M	S	41	GRAASIDEMUS	REC		
Z19	PORS	FALL	100919	1	2	2	2C	B637	F	NP	38	GRAASIDEMUS	REC		
Z19	PORS	FALL	100919	1	2	2	2B	AB94	M	S	38	GRAASIDEMUS	REC		
Z19	PORS	FALL	100919	1	2	2	2D	FC47	M	A	25	GRAASIDEMUS	N		
Z19	PORS	FALL	100919	1	2	2	1A	UNMFL	NA	NA	NA	SNØMUS		DEAD	
Z19	PORS	FALL	100919	1	1	2	2A	78E1	F	NP	25	GRAASIDEMUS	REC		
Z19	PORS	FALL	100919	1	1	2	2D	B482	F	PL	35	GRAASIDEMUS	REC		
Z19	PORS	FALL	100919	1	1	2	1B	42AF	M	S	35	GRAASIDEMUS	REC		
Z19	PORS	FALL	100919	1	1	2	1A	F5DA	M	A	24	MARKMUS	N		
Z19	PORS	FALL	100919	1	1	3	2B	B6DE	F	PL	38	GRAASIDEMUS	REC		
Z19	PORS	FALL	100919	1	1	3	2A	F516	M	A	23	GRAASIDEMUS	N		
Z19	PORS	FALL	100919	1	1	3	2D	E70F	F	NP	33	GRAASIDEMUS	N		
Z19	PORS	FALL	100919	1	1	3	2D	F96E	M	A	22	GRAASIDEMUS	N		
Z19	PORS	FALL	100919	1	1	3	1A	UNMFS	M	A	25	GRAASIDEMUS	N	DEAD	
Z19	PORS	FALL	110919	2	1	2	2B	B481	M	A	25	GRAASIDEMUS	N		
Z19	PORS	FALL	110919	2	1	2	2B	B729	M	A	26	GRAASIDEMUS	N		
Z19	PORS	FALL	110919	2	1	2	2A	79E1	F	NP	29	GRAASIDEMUS			
Z19	PORS	FALL	110919	2	1	2	2D	B482	F	PL	36	GRAASIDEMUS			
Z19	PORS	FALL	110919	2	1	2	1B	B6D2	M	A	17	ROEDMUS	N		
Z19	PORS	FALL	110919	2	1	2	1A	B74E	M	A	20	MARKMUS	N		
Z19	PORS	FALL	110919	2	1	3	2B	862B	M	A	30	GRAASIDEMUS	N		
Z19	PORS	FALL	110919	2	1	3	2B	B49A	M	A	20	GRAASIDEMUS	N		
Z19	PORS	FALL	110919	2	1	3	2D	E70F	F	NP	30	GRAASIDEMUS			
Z19	PORS	FALL	110919	2	1	3	2D	B544	F	NP	23	GRAASIDEMUS	N		
Z19	PORS	FALL	110919	2	1	3	2A	B49F	F	NP	22	GRAASIDEMUS	N		
Z19	PORS	FALL	110919	2	1	3	2A	B4DD	M	A	27	GRAASIDEMUS	N		
Z19	PORS	FALL	110919	2	2	1	4C	B65B	F	NP	27	GRAASIDEMUS			
Z19	PORS	FALL	110919	2	2	1	4C	E9D9	F	PL	38	GRAASIDEMUS	N		
Z19	PORS	FALL	110919	2	2	1	4B	F5CF	M	A	25	GRAASIDEMUS			
Z19	PORS	FALL	110919	2	2	1	4B	EE06	F	NP	30	GRAASIDEMUS	N		
Z19	PORS	FALL	110919	2	2	1	4A	FE47	F	NP	23	GRAASIDEMUS			
Z19	PORS	FALL	110919	2	2	1	4A	B504	M	A	22	GRAASIDEMUS			
Z19	PORS	FALL	110919	2	2	1	4D	B619	M	S	38	GRAASIDEMUS			
Z19	PORS	FALL	110919	2	2	1	1C	FECA	F	NP	24	GRAASIDEMUS			
Z19	PORS	FALL	110919	2	2	1	1C	FD38	M	A	25	GRAASIDEMUS	N		
Z19	PORS	FALL	110919	2	2	1	1D	B63F	M	S	38	GRAASIDEMUS			
Z19	PORS	FALL	110919	2	2	2	3B	B637	F	PL	36	GRAASIDEMUS			
Z19	PORS	FALL	110919	2	2	2	3B	F5CA	M	A	20	GRAASIDEMUS			
Z19	PORS	FALL	110919	2	2	2	3A	B704	M	S	42	GRAASIDEMUS			
Z19	PORS	FALL	110919	2	2	2	2C	F5A9	F	NP	27	GRAASIDEMUS	N		
Z19	PORS	FALL	110919	2	2	2	2B	AB94	M	S	37	GRAASIDEMUS			
Z19	PORS	FALL	110919	2	2	2	2A	EFA1	M	A	25	GRAASIDEMUS	N		
Z19	PORS	FALL	110919	2	2	2	2A	F208	F	NP	20	GRAASIDEMUS	N		
Z19	PORS	FALL	110919	2	3	2	2C	E7DE	F	NP	24	GRAASIDEMUS			
Z19	PORS	FALL	110919	2	3	2	2D	FC57	M	A	22	GRAASIDEMUS	N		
Z19	PORS	FALL	110919	2	3	2	1D	F0D0	M	A	20	GRAASIDEMUS	N		
Z19	PORS	FALL	110919	2	3	2	1D	F75B	F	NP	24	GRAASIDEMUS	N		
Z19	PORS	FALL	110919	2	3	2	1D	F2B4	M	A	21	GRAASIDEMUS	N		
Z19	PORS	FALL	110919	2	3	2	1C	AA28	M	S	44	GRAASIDEMUS			
Z19	PORS	FALL	110919	2	3	2	1C	F83E	F	NP	22	GRAASIDEMUS	N		
Z19	PORS	FALL	110919	2	3	2	4A	AAEA	M	A	28	GRAASIDEMUS			
Z19	PORS	FALL	110919	2	3	2	4A	3FA3	F	NP	25	GRAASIDEMUS			
Z19	PORS	FALL	110919	2	3	2	4D	EF3A	F	NP	27	GRAASIDEMUS			
Z19	PORS	FALL	110919	2	3	2	4D	B560	F	NP	25	GRAASIDEMUS			
