year	area	seas	datetime	check	transect	station	trapnum	Nindnum	sex	status	weight	species	marked	note	
Z19	PORS	FALL	110919	2	2	2	1B	FBB8C	M	A	21	GRAASIDEMUS	N		
Z19	PORS	FALL	110919	2	2	2	2D	F980	M	A	26	GRAASIDEMUS	N		
Z19	PORS	FALL	110919	2	3	1	3D	FA896	F	NP	20	MARKMUS			
Z19	PORS	FALL	110919	2	3	1	3C	FB9B3	M	A	23	MARKMUS	N		
Z19	PORS	FALL	110919	2	3	1	4A	FBC03	M	A	21	MARKMUS	N		
Z19	PORS	FALL	110919	2	3	1	4D	UNMFE	M	A	27	GRAASIDEMUS	N		
Z19	PORS	FALL	110919	2	3	1	4B	FB9C7	F	NP	19	MARKMUS	N		
Z19	PORS	FALL	110919	2	3	1	3C	FB907	M	A	18	GRAASIDEMUS	N		
Z19	PORS	FALL	110919	2	3	1	3B	FA924	M	A	20	GRAASIDEMUS			
Z19	PORS	FALL	110919	2	3	1	2C	FA90A	F	NP	28	GRAASIDEMUS			
Z19	PORS	FALL	110919	2	3	1	1B	FA8F4	M	A	21	MARKMUS	N		
Z19	PORS	FALL	110919	2	3	2	3C	FBA05	M	A	25	GRAASIDEMUS	N		
Z19	PORS	FALL	110919	2	3	2	3C	FBA4F	M	A	27	GRAASIDEMUS	N		
Z19	PORS	FALL	110919	2	5	1	1A	FA9E8	F	NP	15	ROEDMUS	N		
Z19	PORS	FALL	110919	2	5	1	1B	FB94F	F	NP	16	ROEDMUS	N		
Z19	PORS	FALL	110919	2	5	1	2A	FAB9D	F	NP	14	MARKMUS	N		
Z19	PORS	FALL	110919	2	5	1	3A	FBBD6	M	A	27	MARKMUS	N		
Z19	PORS	FALL	110919	2	5	1	3B	UNMFZ	NA	NA	NA	SNØMUS			
Z19	PORS	FALL	110919	2	5	1	3B 	UNMFT	F	NP	17	ROEDMUS	N	DEAD	
Z19	PORS	FALL	110919	2	5	1	3C	FA880	F	L,P	42	MARKMUS			
Z19	PORS	FALL	110919	2	5	1	3D	FB97C	F	NP	20	MARKMUS	N		
Z19	PORS	FALL	110919	2	5	1	4B	FB99B	M	A	18	MARKMUS	N		
Z19	PORS	FALL	110919	2	5	1	4D	FA9A8	F	NP	17	ROEDMUS			
Z19	PORS	SPRING	170619	1	5	2	4C	B7DB	M	S	43	GRAASIDEMUS	N		
Z19	PORS	SPRING	170619	1	5	2	2C	B59E	M	S	30	GRAASIDEMUS	N		
Z19	PORS	SPRING	170619	1	3	2	2C	B670	M	S	44	GRAASIDEMUS	N		
Z19	PORS	SPRING	170619	1	3	2	1D	B620	F	L	40	GRAASIDEMUS	REC		
Z19	PORS	SPRING	170619	1	3	2	4A	B623	M	S	46	GRAASIDEMUS	N		
Z19	PORS	SPRING	170619	1	3	2	4D	B49E	F	L,P	50	GRAASIDEMUS	N		
Z19	PORS	SPRING	170619	1	3	2	3D	B590	F	L	37	GRAASIDEMUS	N		
Z19	PORS	SPRING	170619	1	3	2	3C	B743	F	L	50	GRAASIDEMUS	N		
Z19	PORS	SPRING	170619	1	2	1	4C	B619	M	S	42	GRAASIDEMUS	N		
Z19	PORS	SPRING	170619	1	2	1	4C	B740	M	S	38	GRAASIDEMUS	N		
Z19	PORS	SPRING	170619	1	2	1	4B	B62F	M	S	36	GRAASIDEMUS	N		
Z19	PORS	SPRING	170619	1	2	1	4A	B641	F	L,P	53	GRAASIDEMUS	REC		
Z19	PORS	SPRING	170619	1	2	1	4D	B6B6	M	S	47	GRAASIDEMUS	REC		
Z19	PORS	SPRING	170619	1	2	1	1D	B789	F	L	36	GRAASIDEMUS	REC		
Z19	PORS	SPRING	170619	1	2	2	3B	B704	M	S	40	GRAASIDEMUS	N		
Z19	PORS	SPRING	170619	1	2	2	3A	B5C8	F	P	43	GRAASIDEMUS	REC		
Z19	PORS	SPRING	170619	1	2	2	2C	B51B	M	S	46	GRAASIDEMUS	REC		
Z19	PORS	SPRING	170619	1	2	2	2B	D7C6	F	L	49	GRAASIDEMUS	REC		
Z19	PORS	SPRING	170619	1	2	2	2A	B4EC	M	S	35	GRAASIDEMUS	N		
