year	area	seas	datetime	check	transect	station	trapnum	Nindnum	sex	status	weight	species	marked	note
Z19	PORSANGER	FALL	100919	1	MASOY	G19	1A	UNMFC	M	A	15	GRAASIDEMUS	N	DEAD
Z19	PORSANGER	FALL	100919	1	MASOY	G19	1D	B79C	F	NP	23	GRAASIDEMUS	N	
Z19	PORSANGER	FALL	100919	1	MASOY	G20	3B	5E8B2	M	A/S	38	GRAASIDEMUS	REC	
Z19	PORSANGER	FALL	100919	1	MASOY	G20	3A	FA9A4	M	A	20	ROEDMUS	N	
Z19	PORSANGER	FALL	100919	1	MASOY	G20	2C	FAACB	M	A	26	GRAASIDEMUS	N	
Z19	PORSANGER	FALL	100919	1	MASOY	G20	2B	FBA20	F	PL	38	GRAASIDEMUS	REC	
Z19	PORSANGER	FALL	100919	1	MASOY	G20	2A	5FD5F	F	NP	28	GRAASIDEMUS	REC	
Z19	PORSANGER	FALL	100919	1	MASOY	G20	1B	FB8EA	M	S	40	GRAASIDEMUS	REC	
Z19	PORSANGER	FALL	100919	1	MASOY	G20	1A	FAACF	M	A	25	GRAASIDEMUS	N	
Z19	PORSANGER	FALL	100919	1	MASOY	G20	1A	FAB8F	F	NP	23	GRAASIDEMUS	N	
Z19	PORSANGER	FALL	100919	1	MASOY	G20	1D	63BBE	M	A	20	ROEDMUS	REC	
Z19	PORSANGER	FALL	110919	2	MASOY	G20	3B	63F1D	M	A	30	GRAASIDEMUS		
Z19	PORSANGER	FALL	110919	2	MASOY	G20	3A	FA9A4	M	A	20	ROEDMUS		
Z19	PORSANGER	FALL	110919	2	MASOY	G20	2C	FAAE9	M	A	26	GRAASIDEMUS	N	
Z19	PORSANGER	FALL	110919	2	MASOY	G20	2B	FBA20	F	PL	43	GRAASIDEMUS		
Z19	PORSANGER	FALL	110919	2	MASOY	G20	2A	5F5CC	M	A	28	GRAASIDEMUS		
Z19	PORSANGER	FALL	110919	2	MASOY	G20	2D	5FD5F	F	NP	30	GRAASIDEMUS		
Z19	PORSANGER	FALL	110919	2	MASOY	G20	1B	FB8EA	M	S	41	GRAASIDEMUS		
Z19	PORSANGER	FALL	110919	2	MASOY	G20	1C	FBA94	F	NP	23	GRAASIDEMUS	N	
Z19	PORSANGER	FALL	110919	2	MASOY	G19	3B	FB84F	F	NP	16	ROEDMUS	N	
Z19	PORSANGER	FALL	110919	2	MASOY	G19	3B	FBA0F	F	NP	13	ROEDMUS	N	
Z19	PORSANGER	FALL	110919	2	MASOY	G19	2C	5F6BA	M	A/S	41	GRAASIDEMUS		
Z19	PORSANGER	FALL	110919	2	MASOY	G19	2B	FA992	M	A	18	ROEDMUS		
Z19	PORSANGER	FALL	110919	2	MASOY	G19	2A	FA8BE	F	NP	30	GRAASIDEMUS		
Z19	PORSANGER	FALL	110919	2	MASOY	G19	2D	FBBB9	M	A	25	GRAASIDEMUS		
Z19	PORSANGER	FALL	110919	2	MASOY	G19	1A	FBBB3	M	A	19	GRAASIDEMUS	N	
Z19	PORSANGER	FALL	110919	2	MASOY	G16	3C	64B97	M	A	26	GRAASIDEMUS		
Z19	PORSANGER	FALL	110919	2	MASOY	G16	4B	FAB2D	F	NP	27	GRAASIDEMUS		
Z19	PORSANGER	FALL	110919	2	MASOY	G16	4C	FBB80	M	A	28	GRAASIDEMUS		
Z19	PORSANGER	FALL	110919	2	MASOY	G16	4D	FBBD0	M	A	27	GRAASIDEMUS		
Z19	PORSANGER	FALL	110919	2	MASOY	G16	4A	FAAF4	F	NP	23	GRAASIDEMUS		
Z19	PORSANGER	FALL	110919	2	MASOY	G16	1C	FBB88	M	S	43	GRAASIDEMUS		
Z19	PORSANGER	FALL	110919	2	MASOY	G16	1D	5F047	M	A	33	GRAASIDEMUS		
Z19	PORSANGER	FALL	110919	2	MASOY	G16	1A	63640	F	NP	23	GRAASIDEMUS		
Z19	PORSANGER	FALL	110919	2	MASOY	G16	1A	5FA7E	F	NP	28	GRAASIDEMUS		
Z19	PORSANGER	FALL	110919	2	MASOY	G15	3B	FAA5A	M	A	29	GRAASIDEMUS		
