year	area	seas	datetime	check	transect	station	trapnum	indnum_old	Nindnum	sex	status	weight	species	marked	note
SU19	PORSANGER	SUMMER	030819	1	MÅSØY	G16	4D	NA	NA	F	0	46	GRAASIDEMUS	N	Forgot to pit-tag
SU19	PORSANGER	SUMMER	030819	1	MÅSØY	G16	1C	NA	0007A5F813	F	NP	17	GRAASIDEMUS	N	
SU19	PORSANGER	SUMMER	030819	1	MÅSØY	G16	1C	NA	0007A5F9C3	M	S	20	GRAASIDEMUS	N	
SU19	PORSANGER	SUMMER	030819	1	MÅSØY	G16	1B	NA	0007A63640	M	A	18	GRAASIDEMUS	N	
SU19	PORSANGER	SUMMER	030819	1	MÅSØY	G16	2A	NA	0007A654DD	M	S	19	GRAASIDEMUS	N	
SU19	PORSANGER	SUMMER	030819	1	MÅSØY	G16	2A	NA	0007A639D8	M	S	23	GRAASIDEMUS	N	
SU19	PORSANGER	SUMMER	030819	1	MÅSØY	G16	2A	NA	0007A640D4	M	S	23	GRAASIDEMUS	N	
SU19	PORSANGER	SUMMER	030819	1	MÅSØY	G19	1D	NA	0007A5E491	M	S	25	GRAASIDEMUS	N	
SU19	PORSANGER	SUMMER	030819	1	MÅSØY	G19	4C	NA	0007A5F46D	M	S	21	GRAASIDEMUS	N	
SU19	PORSANGER	SUMMER	030819	1	MÅSØY	G19	4C	NA	0007A5FBC7	M	S	18	GRAASIDEMUS	N	
SU19	PORSANGER	SUMMER	030819	1	MÅSØY	G19	4C	NA	0007A5F853	M	S	19	GRAASIDEMUS	N	
SU19	PORSANGER	SUMMER	030819	1	MÅSØY	G19	1C	NA	0007DFB669	M	S	32	GRAASIDEMUS	R	
SU19	PORSANGER	SUMMER	030819	1	MÅSØY	G19	2D	NA	0007A5F609	M	S	23	GRAASIDEMUS	N	
SU19	PORSANGER	SUMMER	030819	1	MÅSØY	G19	2A	NA	0007A5ED94	F	C,L	33	GRAASIDEMUS	N	
SU19	PORSANGER	SUMMER	030819	1	MÅSØY	G19	2B	NA	0007A5EB9F	F	C	NA	GRAASIDEMUS	N	
