year	area	seas	datetime	check	transect	station	trapnum	indnum_old	Nindnum	sex	status	weight	species	marked	note
A18	PORSANGER	AUTUMN	20818	1	MÅSØY	G06	4C	NA	0007D60E9D	F	C,L	35	ROEDMUS	N	
A18	PORSANGER	AUTUMN	20818	1	MÅSØY	G08	3B	NA	0007D60C8D	M	S	20	ROEDMUS	N	
A18	PORSANGER	AUTUMN	20818	1	MÅSØY	G08	1B	NA	0007D395C9	M	S	22	FJELLROTTE	N	
A18	PORSANGER	AUTUMN	20818	1	MÅSØY	G08	1D	NA	0007D36D9A	F	O,L	39	GRAASIDEMUS	N	
A18	PORSANGER	AUTUMN	20818	1	MÅSØY	G08	1D	NA	UNM008	F	NP	11	GRAASIDEMUS	N	
A18	PORSANGER	AUTUMN	20818	1	MÅSØY	G11	2C	NA	0007D30847	M	S	46	GRAASIDEMUS	R	
A18	PORSANGER	AUTUMN	20818	1	MÅSØY	G11	1C	NA	0007D60A13	F	O	29	GRAASIDEMUS	N	
A18	PORSANGER	AUTUMN	20818	1	MÅSØY	G11	3B	NA	0007D3A9E8	F	O	38	GRAASIDEMUS	R	
A18	PORSANGER	AUTUMN	20818	1	MÅSØY	G15	3D	NA	0007D6075F	M	S	20	GRAASIDEMUS	N	
A18	PORSANGER	AUTUMN	20818	1	MÅSØY	G15	4B	NA	UNM009	NA	NA	10	ROEDMUS	N	
A18	PORSANGER	AUTUMN	20818	1	MÅSØY	G15	4C	NA	UNM010	M	S	32	GRAASIDEMUS	N	DEAD
A18	PORSANGER	AUTUMN	20818	1	MÅSØY	G15	4D	NA	0007D603E5	M	S	38	ROEDMUS	N	
A18	PORSANGER	AUTUMN	20818	1	MÅSØY	G16	2B	NA	0007D60AEE	F	C,L	41	GRAASIDEMUS	R	
A18	PORSANGER	AUTUMN	20818	1	MÅSØY	G16	2C	NA	0007D2D1ED	M	S	15	ROEDMUS	N	
A18	PORSANGER	AUTUMN	20818	1	MÅSØY	G16	2C	NA	0007D30CDD	M	S	43	GRAASIDEMUS	N	
A18	PORSANGER	AUTUMN	20818	1	MÅSØY	G19	2B	NA	0007D2BBDE	F	C	42	GRAASIDEMUS	N	
