year	area	seas	datetime	check	transect	station	trapnum	indnum_old	Nindnum	sex	status	weight	species	marked	note
Z18	PORSANGER	SUMMER	170618	2	MASOY	G12	1C	NA	0007D5FFAF	M	S	42	GRAASIDEMUS	N	
Z18	PORSANGER	SUMMER	170618	2	MASOY	G11	2D	NA	0007D26800	F	L,P?	46	GRAASIDEMUS	N	
Z18	PORSANGER	SUMMER	170618	2	MASOY	G11	2D	NA	UNMF	M	A	12	GRAASIDEMUS	N	NO PITTAG
Z18	PORSANGER	SUMMER	170618	2	MASOY	G11	2D	NA	UNMG	M	A	12	GRAASIDEMUS	N	NO PITTAG
Z18	PORSANGER	SUMMER	170618	2	MASOY	G11	2D	NA	UNMH	F	NP	12	GRAASIDEMUS	N	NO PITTAG
Z18	PORSANGER	SUMMER	170618	2	MASOY	G11	1B	NA	0007D30847	M	S	45	GRAASIDEMUS	N	
Z18	PORSANGER	SUMMER	170618	2	MASOY	G11	1B	NA	UNMI	F	NP	11	GRAASIDEMUS	N	NO PITTAG
Z18	PORSANGER	SUMMER	170618	2	MASOY	G11	1D	3114	0007D3082C	F	L,P	45	GRAASIDEMUS	R	
Z18	PORSANGER	SUMMER	170618	2	MASOY	G10	3B	NA	0007D60771	F	L,P	48	GRAASIDEMUS	R	
Z18	PORSANGER	SUMMER	170618	2	MASOY	G8	1D	NA	0007D485C1	M	S	42	GRAASIDEMUS	N	
Z18	PORSANGER	SUMMER	170618	2	MASOY	G7	3C	NA	0007D60D46	M	S	28	ROEDMUS	R	
Z18	PORSANGER	SUMMER	170618	2	MASOY	G5	1C	NA	0007D60334	M	S	28	ROEDMUS	N	
Z18	PORSANGER	SUMMER	170618	2	MASOY	G5	1D	NA	0007D3224F	M	S	30	ROEDMUS	N	
Z18	PORSANGER	SUMMER	170618	2	MASOY	G2	1C	NA	0007D607DA	F	L	34	GRAASIDEMUS	R	
Z18	PORSANGER	SUMMER	170618	2	MASOY	G2	1C	NA	UNMJ01	F	NP	9	GRAASIDEMUS	N	NO PITTAG
Z18	PORSANGER	SUMMER	170618	2	MASOY	G2	1C	NA	UNMJ02	F	NP	9	GRAASIDEMUS	N	NO PITTAG
Z18	PORSANGER	SUMMER	170618	2	MASOY	G2	1C	NA	UNMJ03	F	NP	9	GRAASIDEMUS	N	NO PITTAG
Z18	PORSANGER	SUMMER	170618	2	MASOY	G2	1C	NA	UNMJ04	M	A	9	GRAASIDEMUS	N	NO PITTAG
Z18	PORSANGER	SUMMER	170618	2	MASOY	G2	1C	NA	UNMJ05	M	A	9	GRAASIDEMUS	N	NO PITTAG
Z18	PORSANGER	SUMMER	170618	2	MASOY	G2	4D	NA	0007D60571	F	L	34	GRAASIDEMUS	N	
Z18	PORSANGER	SUMMER	170618	2	MASOY	G1	2D	NA	0007D39947	F	PL	31	GRAASIDEMUS	R	
Z18	PORSANGER	SUMMER	170618	2	MASOY	G1	1B	NA	0007D2BF5E	F	PL	38	GRAASIDEMUS	N	
Z18	PORSANGER	SUMMER	170618	2	MASOY	G1	1A	NA	0007D6080B	M	S	43	GRAASIDEMUS	N	
