year	area	seas	datetime	check	transect	station	trapnum	indnum_old	Nindnum	sex	status	weight	species	marked	note
Z18	PORSANGER	SPRING	170618	2	MÅSØY	G19	1B	NA	UNMB	M	A	13,0	GRAASIDEMUS	R	NO PITTAG
Z18	PORSANGER	SPRING	170618	2	MÅSØY	G19	1B	NA	UNMC	F	NP	12,0	GRAASIDEMUS	R	NO PITTAG
Z18	PORSANGER	SPRING	170618	2	MÅSØY	G19	1D	NA	UNMD	M	A	11,0	GRAASIDEMUS	R	NO PITTAG
Z18	PORSANGER	SPRING	170618	2	MÅSØY	G19	1C	NA	0007D6128B	F	L	41,0	GRAASIDEMUS	R	
Z18	PORSANGER	SPRING	170618	2	MÅSØY	G16	1D	NA	0007D2B7E2	M	S	27,0	ROEDMUS	R	
Z18	PORSANGER	SPRING	170618	2	MÅSØY	G16	2D	NA	0007D60AEE	F	L	35,0	GRAASIDEMUS	R	
Z18	PORSANGER	SPRING	170618	2	MÅSØY	G15	2C	NA	0007D613A3	F	NP	19,0	GRAASIDEMUS	N	
Z18	PORSANGER	SPRING	170618	2	MÅSØY	G15	2A	NA	0007D60557	M	S	19,0	ROEDMUS	R	
Z18	PORSANGER	SPRING	170618	2	MÅSØY	G14	4A	NA	0007D6054F	F	L	34,0	GRAASIDEMUS	R	
Z18	PORSANGER	SPRING	170618	2	MÅSØY	G13	3A	NA	0007D60CA8	M	S	32,0	FJELLROTTE	N	
Z18	PORSANGER	SPRING	170618	2	MÅSØY	G13	1A	NA	0007D6069D	F	P	25,0	ROEDMUS	R	
Z18	PORSANGER	SPRING	170618	2	MÅSØY	G12	3B	NA	UNME	F	NP	10,0	GRAASIDEMUS	N	NO PITTAG
Z18	PORSANGER	SPRING	170618	2	MÅSØY	G12	3A	NA	0007D3102F	F	L	42,0	GRAASIDEMUS	N	
Z18	PORSANGER	SPRING	170618	2	MÅSØY	G12	3A	NA	UNME	M	A	10,0	GRAASIDEMUS	N	NO PITTAG
Z18	PORSANGER	SPRING	170618	2	MÅSØY	G12	3A	NA	UNME	F	NP	10,0	GRAASIDEMUS	N	NO PITTAG
