year	area	seas	datetime	check	transect	station	trapnum	indnum_old	Nindnum	sex	status	weight	species	marked	note
Z18	PORS	AUTUMN	110918	1	2	2	4C	NA	0007DF0FB0	M	A	15	GRAASIDEMUS	N	
Z18	PORS	AUTUMN	110918	1	2	2	4C	NA	0007DF0534	M	A	15	GRAASIDEMUS	N	
Z18	PORS	AUTUMN	110918	1	2	2	4D	NA	0007DF11FA	F	L	30	GRAASIDEMUS	N	
Z18	PORS	AUTUMN	110918	1	2	2	4A	NA	0007DFD57E	M	S	40	GRAASIDEMUS		
Z18	PORS	AUTUMN	110918	1	2	2	1C	NA	0007DF0BAC	M	A/S	20	GRAASIDEMUS	N	
Z18	PORS	AUTUMN	110918	1	1	2	3C	NA	0007DF0F92	M	A	25	GRAASIDEMUS	N	
Z18	PORS	AUTUMN	110918	1	1	2	4A	NA	0007DF165B	F	L,P	45	GRAASIDEMUS	N	
Z18	PORS	AUTUMN	110918	1	1	2	1D	NA	0007DFDF22	M	A	25	GRAASIDEMUS	N	
Z18	PORS	AUTUMN	110918	1	1	3	3B	NA	UNM003	M	A	12	GRAASIDEMUS	DEAD	
Z18	PORS	AUTUMN	110918	1	1	3	3D	NA	0007DFD189	F	L	47	GRAASIDEMUS		
Z18	PORS	AUTUMN	120918	2	1	2	3C	NA	0007DFB6B1	F	PERF,L	31	GRAASIDEMUS	N	
Z18	PORS	AUTUMN	120918	2	1	2	4A	NA	0007DF165B	F	L	36	GRAASIDEMUS		
Z18	PORS	AUTUMN	120918	2	1	2	1C	NA	0007DFB507	F	NP	20	GRAASIDEMUS	N	
Z18	PORS	AUTUMN	120918	2	1	2	1D	NA	0007DFD4D2	F	L	35	GRAASIDEMUS		
Z18	PORS	AUTUMN	120918	2	1	3	3B	NA	UNM004	M	A	12	GRAASIDEMUS	N	
Z18	PORS	AUTUMN	120918	2	1	3	3C	NA	0007DFB935	M	A/S	27	GRAASIDEMUS	N	
Z18	PORS	AUTUMN	120918	2	1	3	3D	NA	0007DFD189	F	L,P	44	GRAASIDEMUS		
Z18	PORS	AUTUMN	120918	2	2	1	3D	NA	0007DFB859	F	NP	27	GRAASIDEMUS		
Z18	PORS	AUTUMN	120918	2	2	1	3C	3120	0007DFD589	F	L	45	GRAASIDEMUS		
Z18	PORS	AUTUMN	120918	2	2	1	3B	NA	0007DF06CC	F	L	42	GRAASIDEMUS		
Z18	PORS	AUTUMN	120918	2	2	1	3B	NA	0007DFB608	M	A	26	GRAASIDEMUS		
Z18	PORS	AUTUMN	120918	2	2	1	3A	NA	0007DFBB5C	M	A	25	GRAASIDEMUS		
Z18	PORS	AUTUMN	120918	2	2	1	3A	NA	0007DFB895	F	NP	25	GRAASIDEMUS		
Z18	PORS	AUTUMN	120918	2	2	1	3A	NA	0007DFB7CB	F	NP	23	GRAASIDEMUS		
Z18	PORS	AUTUMN	120918	2	2	1	3A	NA	0007DFB6DD	M	A	23	GRAASIDEMUS		
Z18	PORS	AUTUMN	120918	2	2	1	2C	NA	0007DF134A	F	L	40	GRAASIDEMUS		
Z18	PORS	AUTUMN	120918	2	2	1	2B	NA	0007DF0C2F	F	PL	32	GRAASIDEMUS		
Z18	PORS	AUTUMN	120918	2	2	1	2B	NA	0007DFBA48	M	A	18	GRAASIDEMUS		
Z18	PORS	AUTUMN	120918	2	2	1	2B	NA	0007DFBACF	M	A	19	GRAASIDEMUS		
Z18	PORS	AUTUMN	120918	2	2	1	2B	NA	0007DFB4F7	M	A	17	GRAASIDEMUS		
Z18	PORS	AUTUMN	120918	2	2	1	2A	NA	0007DFBA3A	F	NP	23	GRAASIDEMUS		
Z18	PORS	AUTUMN	120918	2	2	1	2D	NA	0007DFB9C1	M	A	29	GRAASIDEMUS		
Z18	PORS	AUTUMN	120918	2	2	1	2D	NA	0007DFB653	M	A	28	GRAASIDEMUS		
Z18	PORS	AUTUMN	120918	2	2	1	2D	NA	0007DFB858	F	NP	28	GRAASIDEMUS		
Z18	PORS	AUTUMN	120918	2	2	1	2D	NA	0007DFBC16	F	NP	27	GRAASIDEMUS		
