"";"year";"area";"seas";"datetime";"check";"transect";"station";"trapnum";"indnum_old";"Nindnum";"sex";"status";"weight";"species";"marked";"note"
"40";2018;"PORSANGER";"AUTUMN";20818;1;"MASOY";"G04";"1A";NA;"0007D2D0DF";"F";"O,L";"42";"FJELLROTTE";"N";""
"41";2018;"PORSANGER";"AUTUMN";20818;1;"MASOY";"G04";"1B";NA;"0007D3A965";"M";"S";"18";"ROEDMUS";"N";""
"42";2018;"PORSANGER";"AUTUMN";20818;1;"MASOY";"G04";"4B";NA;"0007D612CD";"F";"O,L";"45";"FJELLROTTE";"N";""
"43";2018;"PORSANGER";"AUTUMN";20818;1;"MASOY";"G04";"3D";NA;"0007D31928";"M";"S";"26";"FJELLROTTE";"N";""
"44";2018;"PORSANGER";"AUTUMN";20818;1;"MASOY";"G04";"2C";NA;"0007D60C4D";"M";"S";"25";"ROEDMUS";"N";""
"45";2018;"PORSANGER";"AUTUMN";20818;1;"MASOY";"G04";"2D";NA;"0007D30692";"M";"S";"37";"GRAASIDEMUS";"N";"DIED DURING HANDLING"
"46";2018;"PORSANGER";"AUTUMN";20818;1;"MASOY";"G06";"3A";NA;"0007D3182C";"F";"C,P";"26";"ROEDMUS";"N";""
"47";2018;"PORSANGER";"AUTUMN";20818;1;"MASOY";"G06";"2B";NA;"0007D326CC";"F";"O";"21";"ROEDMUS";"N";""
"48";2018;"PORSANGER";"AUTUMN";20818;1;"MASOY";"G06";"4C";NA;"0007D60E9D";"F";"C,L";"35";"ROEDMUS";"N";""
"49";2018;"PORSANGER";"AUTUMN";20818;1;"MASOY";"G08";"3B";NA;"0007D60C8D";"M";"S";"20";"ROEDMUS";"N";""
"50";2018;"PORSANGER";"AUTUMN";20818;1;"MASOY";"G08";"1B";NA;"0007D395C9";"M";"S";"22";"FJELLROTTE";"N";""
"51";2018;"PORSANGER";"AUTUMN";20818;1;"MASOY";"G08";"1D";NA;"0007D36D9A";"F";"O,L";"39";"GRAASIDEMUS";"N";""
"52";2018;"PORSANGER";"AUTUMN";20818;1;"MASOY";"G08";"1D";NA;"UNM008";"F";"NP";"11";"GRAASIDEMUS";"N";""
"53";2018;"PORSANGER";"AUTUMN";20818;1;"MASOY";"G11";"2C";NA;"0007D30847";"M";"S";"46";"GRAASIDEMUS";"R";""
"54";2018;"PORSANGER";"AUTUMN";20818;1;"MASOY";"G11";"1C";NA;"0007D60A13";"F";"O";"29";"GRAASIDEMUS";"N";""
"55";2018;"PORSANGER";"AUTUMN";20818;1;"MASOY";"G11";"3B";NA;"0007D3A9E8";"F";"O";"38";"GRAASIDEMUS";"R";""
"56";2018;"PORSANGER";"AUTUMN";20818;1;"MASOY";"G15";"3D";NA;"0007D6075F";"M";"S";"20";"GRAASIDEMUS";"N";""
