dato	periode	stasjon 	art	kode	kjønn	vekt	rep	merk	annet
29.07.2019	aug	41	f	4f3	f	24	1	n	
29.07.2019	aug	33	f	51f	m	58	3	g	
30.07.2019	aug	33	f	51f	m	52	3		
30.07.2019	aug	12	f	54f	m	57	3	g	
29.07.2019	aug	15	f	56c	m	55	3	g	
30.07.2019	aug	40	f	57d	f	24	1	n	
29.07.2019	aug	2	f	5a0	f	51	4	g	
30.07.2019	aug	4	f	5a0	f	46	4		
31.07.2019	aug	3	f	5a0	f	47	4		
29.07.2019	aug	42	f	5a5	f	56	4	n	
31.07.2019	aug	42	f	5a5	f	53	4		
30.07.2019	aug	38	f	5ba	f	45	4	n	
31.07.2019	aug	38	f	5ba	f	43	4		
30.07.2019	aug	39	f	5c6	m	67	3	g	
31.07.2019	aug	41	f	5c6	m	67	3		
29.07.2019	aug	20	f	5d2	f	72	3	n	
29.07.2019	aug	13	f	5d7	f	15	1	n	
31.07.2019	aug	14	f	5d7	f	15	1		
29.07.2019	aug	19	f	5da	m	55	3	g	mangler hale
30.07.2019	aug	5	f	5db	f	42	2	n	
31.07.2019	aug	6	f	5db	f	45	2		
29.07.2019	aug	11	f	5ed	f	18	1	n	
30.07.2019	aug	14	f	5f6	f	23	1	n	
30.07.2019	aug	15	f	5f8	f	45	2	n	
31.07.2019	aug	12	f	5fd	f	25	1	n	
29.07.2019	aug	38	f	63d	f	52	2	n	
31.07.2019	aug	11	f	66a	m	23	1	n	
30.07.2019	aug	37	f	6a2	m	57	3	n	
30.07.2019	aug	41	f	6c1	m	24	1	n	
30.07.2019	aug	23	f	6c8	f	49	5	g	
29.07.2019	aug	10	f	6d0	f	21	1	n	
29.07.2019	aug	45	f	6da	f	47	4	g	
30.07.2019	aug	45	f	6da	f	45	4		
31.07.2019	aug	39	f	6da	m	65	3		
29.07.2019	aug	23	f	73f	f	21	1	n	
30.07.2019	aug	5	f	77c	f	41	2	g	
31.07.2019	aug	7	f	77c	f	40	2		
