"site" "year" "filename" "guess1" "confidence1"
"T5-2" 2020 "T5-2_2019-08-02_0031.JPG" 0 0.999999046325684
"T5-2" 2020 "T5-2_2019-08-02_0032.JPG" 0 0.999999761581421
"T5-2" 2020 "T5-2_2019-08-02_0033.JPG" 6 1
"T5-2" 2020 "T5-2_2019-08-02_0034.JPG" 1 0.990763604640961
"T5-2" 2020 "T5-2_2019-08-03_0001.JPG" 6 0.999999046325684
"T5-2" 2020 "T5-2_2019-08-03_0002.JPG" 1 0.988099634647369
"T5-2" 2020 "T5-2_2019-08-03_0003.JPG" 1 0.994389474391937
"T5-2" 2020 "T5-2_2019-08-03_0004.JPG" 1 0.991950631141663
"T5-2" 2020 "T5-2_2019-08-03_0005.JPG" 1 0.997634410858154
"T5-2" 2020 "T5-2_2019-08-03_0006.JPG" 6 0.999999046325684
"T5-2" 2020 "T5-2_2019-08-03_0007.JPG" 1 0.991473078727722
"T5-2" 2020 "T5-2_2019-08-03_0008.JPG" 1 0.991713047027588
"T5-2" 2020 "T5-2_2019-08-03_0009.JPG" 1 0.989992678165436
"T5-2" 2020 "T5-2_2019-08-03_0010.JPG" 6 1
"T5-2" 2020 "T5-2_2019-08-03_0011.JPG" 6 0.999995231628418
"T5-2" 2020 "T5-2_2019-08-03_0012.JPG" 3 0.994383454322815
"T5-2" 2020 "T5-2_2019-08-03_0013.JPG" 3 0.992090821266174
"T5-2" 2020 "T5-2_2019-08-03_0014.JPG" 3 0.988667547702789
"T5-2" 2020 "T5-2_2019-08-03_0015.JPG" 3 0.996936321258545
"T5-2" 2020 "T5-2_2019-08-03_0016.JPG" 3 0.97442638874054
"T5-2" 2020 "T5-2_2019-08-03_0017.JPG" 3 0.996140420436859
"T5-2" 2020 "T5-2_2019-08-03_0018.JPG" 6 1
"T5-2" 2020 "T5-2_2019-08-03_0019.JPG" 1 0.992553770542145
"T5-2" 2020 "T5-2_2019-08-03_0020.JPG" 1 0.996781945228577
"T5-2" 2020 "T5-2_2019-08-03_0021.JPG" 6 0.996221899986267
"T5-2" 2020 "T5-2_2019-08-03_0022.JPG" 1 0.990710079669952
"T5-2" 2020 "T5-2_2019-08-03_0023.JPG" 6 0.999999165534973
"T5-2" 2020 "T5-2_2019-08-03_0024.JPG" 1 0.988971173763275
"T5-2" 2020 "T5-2_2019-08-03_0025.JPG" 6 1
"T5-2" 2020 "T5-2_2019-08-03_0026.JPG" 1 0.991407215595245
"T5-2" 2020 "T5-2_2019-08-04_0001.JPG" 3 0.995524644851685
"T5-2" 2020 "T5-2_2019-08-04_0002.JPG" 3 0.997545659542084
"T5-2" 2020 "T5-2_2019-08-04_0003.JPG" 3 0.997322261333466
"T5-2" 2020 "T5-2_2019-08-04_0004.JPG" 3 0.998996913433075
"T5-2" 2020 "T5-2_2019-08-04_0005.JPG" 3 0.997239708900452
"T5-2" 2020 "T5-2_2019-08-04_0006.JPG" 3 0.553670287132263
"T5-2" 2020 "T5-2_2019-08-04_0007.JPG" 1 0.994477212429047
"T5-2" 2020 "T5-2_2019-08-04_0008.JPG" 6 1
"T5-2" 2020 "T5-2_2019-08-04_0009.JPG" 1 0.996098518371582
"T5-2" 2020 "T5-2_2019-08-04_0010.JPG" 3 0.997940242290497
"T5-2" 2020 "T5-2_2019-08-04_0011.JPG" 3 0.99801242351532
"T5-2" 2020 "T5-2_2019-08-04_0012.JPG" 6 1
"T5-2" 2020 "T5-2_2019-08-04_0013.JPG" 6 1
"T5-2" 2020 "T5-2_2019-08-04_0014.JPG" 6 1
"T5-2" 2020 "T5-2_2019-08-04_0015.JPG" 1 0.979736506938934
"T5-2" 2020 "T5-2_2019-08-04_0016.JPG" 6 0.999997854232788
"T5-2" 2020 "T5-2_2019-08-04_0017.JPG" 1 0.990435004234314
"T5-2" 2020 "T5-2_2019-08-04_0018.JPG" 3 0.987555921077728
"T5-2" 2020 "T5-2_2019-08-04_0019.JPG" 3 0.989765703678131
"T5-2" 2020 "T5-2_2019-08-04_0020.JPG" 6 0.999927401542664
"T5-2" 2020 "T5-2_2019-08-04_0021.JPG" 1 0.986506402492523
"T5-2" 2020 "T5-2_2019-08-04_0022.JPG" 6 1
"T5-2" 2020 "T5-2_2019-08-04_0023.JPG" 6 1
"T5-2" 2020 "T5-2_2019-08-04_0024.JPG" 6 1
"T5-2" 2020 "T5-2_2019-08-04_0025.JPG" 6 0.99999988079071
"T5-2" 2020 "T5-2_2019-08-04_0026.JPG" 6 1
"T5-2" 2020 "T5-2_2019-08-04_0027.JPG" 1 0.993550539016724
